Date,2014,2015,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,2016,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,2017,18-May,18-Jun,18-Jul,18-Aug,18-Sep,2018,2019,2020,21-Feb,21-Mar,21-Apr,21-May,21-Jun,2021,22-Feb,22-Mar,22-Apr,22-May,22-Jun,2021,2022,23-May,23-Jun,23-Jul,23-Aug,23-Sep
Futures,5047,4572,4246,4408,5331,5774,5031,5152,7035,5317,5899,6842,7808,5877,8271,7177,4310,5240,6648,7130,7030,5415,7318,6621,4537,5356,6423,5863,10431,9615,7167,7095,9011,5863,8045,9856,9240,7315,8163,8468
All markets,4934,4463,4162,4295,5227,5661,4913,5046,6917,5206,5795,6748,7686,5762,8120,7013,4194,5107,6413,6984,6903,5281,7176,6456,4408,5229,6265,5723,10289,9443,7031,6949,8841,5723,7892,9724,9090,7180,8030,8300
Interest rate,4291,3863,3529,3756,4688,4879,4291,4421,6031,4594,5207,5905,6925,5065,7044,6167,3684,4243,5615,6137,6050,4507,5902,5473,3736,4185,5422,4836,8969,8417,6162,5836,7859,4836,6952,8553,8152,6397,6817,7340
short-term,643,600,633,539,539,781,623,625,886,611,588,842,761,697,1076,846,510,864,798,847,853,774,1274,982,672,1044,843,887,1320,1025,869,1113,982,887,940,1172,938,783,1214,961
long-term,113,108,85,112,104,113,118,106,119,112,104,95,122,115,151,164,115,134,235,146,127,133,142,165,129,127,158,140,142,172,136,146,170,140,153,131,150,135,132,168
Foreign exchange,3226,3121,2691,2967,3717,4035,3450,3633,5323,3866,4230,5085,5208,3952,5435,4507,2785,3398,4315,4881,5097,3691,4628,4280,2833,3323,4116,3840,7534,7259,5347,5130,6360,3840,5898,7553,6909,5316,6097,5896
North America,3140,3043,2629,2885,3644,3956,3367,3559,5242,3784,4153,5021,5120,3871,5334,4394,2712,3317,4214,4790,5022,3621,4557,4189,2773,3261,4028,3769,7463,7163,5282,5062,6265,3769,5820,7487,6818,5247,6035,5799
Interest rate,2815,2730,2270,2665,3370,3478,3104,3234,4707,3517,3838,4505,4758,3501,4681,4029,2431,2773,3866,4318,4508,3175,3744,3684,2422,2597,3625,3263,6607,6633,4767,4332,5789,3263,5264,6685,6349,4792,5174,5323
short-term,325,313,359,220,274,478,263,325,535,267,315,517,361,370,653,365,281,545,348,471,514,446,814,506,352,664,403,506,855,529,514,730,476,506,555,801,469,455,861,476
long-term,86,79,61,83,72,79,82,73,81,82,76,64,88,81,100,113,73,81,101,91,75,70,70,91,59,61,88,71,71,96,65,68,95,71,79,66,92,69,62,97
Foreign exchange,1535,1166,1297,1199,1352,1471,1253,1236,1408,1157,1445,1500,2284,1636,2479,2290,1264,1554,1910,1926,1564,1461,2393,1996,1485,1814,1995,1754,2616,2015,1534,1667,2294,1754,1848,1979,1955,1673,1731,2195
