,Open interest,,,Daily average turnover,,,,,,,Open interest,,,Daily average turnover,,,,,,,Open interest,,,Daily average turnover,,,,,,,Open interest,,,Daily average turnover,,,,,,,Open interest,,,Daily average turnover,,,,,,,Open interest,,,Daily average turnover,,,,,,,Open interest,,,Daily average turnover,,,,,,
,Dec 2014,Dec 2015,Mar 2016,2014,2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Dec 2015,Dec 2016,Mar 2017,2015,2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Dec 2017,Jun 2018,Sep 2018,2016,2017,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Dec 2018,Dec 2019,Mar 2020,2018,2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Dec 2020,Mar 2021,Jun 2021,2019,2020,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Dec-21,Mar-22,Jun-22,2020,2021,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Dec 2022,Jun 2023,Sep 2023,2021,2022,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023
Futures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All markets,25580,25092,25447,5047,4572,4246,4408,5331,5774,5031,25092,26169,33190,4572,5152,7035,5317,5899,6842,7808,33669,38710,37889,5152,5877,8271,7177,4310,5240,6648,39125,35043,32398,7130,7030,5360,4787,5860,9693,12230,28995,32618,34370,7030,5415,7318,6621,4537,5356,6423,34130,40738,39562,5415,5863,10431,9615,7167,7095,9011,36540,37279,36252,5863,8045,9856,9240,7315,8163,8468
Interest rate,25346,24857,25210,4934,4463,4162,4295,5227,5661,4913,24857,25944,32948,4463,5046,6917,5206,5795,6748,7686,33381,38430,37618,5046,5762,8120,7013,4194,5107,6413,38868,34771,32150,6984,6903,5249,4648,5747,9549,12034,28668,32306,34038,6903,5281,7176,6456,4408,5229,6265,33818,40403,39259,5281,5723,10289,9443,7031,6949,8841,36220,36951,35934,5723,7892,9724,9090,7180,8030,8300
short-term,23736,23315,23588,4291,3863,3529,3756,4688,4879,4291,23315,24051,30942,3863,4421,6031,4594,5207,5905,6925,31008,35887,34851,4421,5065,7044,6167,3684,4243,5615,35996,31921,29786,6137,6050,4265,3922,5048,8202,10879,26287,29636,31322,6050,4507,5902,5473,3736,4185,5422,31144,37714,36609,4507,4836,8969,8417,6162,5836,7859,33607,33776,32583,4836,6952,8553,8152,6397,6817,7340
long-term,1610,1542,1622,643,600,633,539,539,781,623,1542,1893,2005,600,625,886,611,588,842,761,2373,2543,2767,625,697,1076,846,510,864,798,2872,2849,2364,847,853,984,726,700,1347,1155,2381,2670,2716,853,774,1274,982,672,1044,843,2674,2689,2651,774,887,1320,1025,869,1113,982,2613,3175,3351,887,940,1172,938,783,1214,961
Foreign exchange,234,235,237,113,108,85,112,104,113,118,235,225,242,108,106,119,112,104,95,122,289,280,271,106,115,151,164,115,134,235,257,272,248,146,127,111,139,112,144,196,326,312,332,127,133,142,165,129,127,158,313,336,303,133,140,142,172,136,146,170,320,328,319,140,153,131,150,135,132,168
North America,15706,15647,15797,3226,3121,2691,2967,3717,4035,3450,15647,17910,23080,3121,3633,5323,3866,4230,5085,5208,22222,26648,25937,3633,3952,5435,4507,2785,3398,4315,26764,23886,23651,4881,5097,3817,3063,3840,7435,9393,18839,21704,22470,5097,3691,4628,4280,2833,3323,4116,23519,30646,29787,3691,3840,7534,7259,5347,5130,6360,28144,27547,27036,3840,5898,7553,6909,5316,6097,5896
Interest rate,15554,15500,15660,3140,3043,2629,2885,3644,3956,3367,15500,17765,22923,3043,3559,5242,3784,4153,5021,5120,22029,26475,25766,3559,3871,5334,4394,2712,3317,4214,26596,23706,23506,4790,5022,3759,2973,3778,7349,9267,18644,21522,22266,5022,3621,4557,4189,2773,3261,4028,23320,30451,29604,3621,3769,7463,7163,5282,5062,6265,27955,27348,26841,3769,5820,7487,6818,5247,6035,5799
short-term,14669,14646,14774,2815,2730,2270,2665,3370,3478,3104,14646,16723,21819,2730,3234,4707,3517,3838,4505,4758,20759,25075,24149,3234,3501,4681,4029,2431,2773,3866,24833,21800,21869,4318,4508,3078,2623,3365,6398,8588,17193,19826,20570,4508,3175,3744,3684,2422,2597,3625,21655,28778,27982,3175,3263,6607,6633,4767,4332,5789,26227,25119,24463,3263,5264,6685,6349,4792,5174,5323
long-term,886,853,886,325,313,359,220,274,478,263,853,1042,1104,313,325,535,267,315,517,361,1270,1401,1617,325,370,653,365,281,545,348,1763,1906,1637,471,514,681,350,414,951,679,1451,1695,1696,514,446,814,506,352,664,403,1665,1672,1622,446,506,855,529,514,730,476,1728,2229,2378,506,555,801,469,455,861,476
