Currency,1989,,1992,,1995,,1998,,2001,,2004,,2007,,2010,,2013,,2016,,2019,,2022,
,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%,Amount,%
USD,485,90,668,82,981,83,1325,87,1114,90,1702,88,2845,86,3371,85,4662,87,4437,88,5811,88,6639,88
EUR,...,...,...,...,...,...,...,...,470,38,724,37,1231,37,1551,39,1790,33,1590,31,2126,32,2292,31
JPY,151,28,190,23,291,25,332,22,292,24,403,21,573,17,754,19,1235,23,1096,22,1108,17,1253,17
GBP,78,15,112,14,110,9,168,11,162,13,319,16,494,15,512,13,633,12,649,13,843,13,968,13
CNY,...,...,...,...,...,...,0,0,0,0,2,0,15,0,34,1,120,2,202,4,285,4,526,7
AUD,13,2,20,2,31,3,46,3,54,4,116,6,220,7,301,8,463,9,349,7,446,7,479,6
CAD,8,1,27,3,40,3,54,4,56,4,81,4,143,4,210,5,244,5,260,5,332,5,466,6
CHF,52,10,69,8,85,7,108,7,74,6,117,6,227,7,250,6,276,5,243,5,326,5,390,5
HKD,5,1,8,1,13,1,15,1,28,2,34,2,90,3,94,2,77,1,88,2,233,4,194,3
SGD,2,0,2,0,5,0,17,1,13,1,18,1,39,1,56,1,75,1,91,2,119,2,182,2
SEK,6,1,9,1,7,1,5,0,31,2,42,2,90,3,87,2,94,2,112,2,134,2,168,2
KRW,...,...,...,...,...,...,2,0,10,1,22,1,38,1,60,2,64,1,84,2,132,2,142,2
NOK,1,0,2,0,3,0,4,0,18,1,27,1,70,2,52,1,77,1,85,2,119,2,125,2
NZD,...,...,2,0,3,0,3,0,7,1,21,1,63,2,63,2,105,2,104,2,137,2,125,2
INR,...,...,...,...,...,...,1,0,3,0,6,0,24,1,38,1,53,1,58,1,114,2,122,2
MXN,...,...,...,...,...,...,7,0,10,1,21,1,44,1,50,1,135,3,97,2,111,2,114,2
TWD,...,...,...,...,...,...,2,0,3,0,8,0,12,0,19,0,24,0,32,1,60,1,83,1
ZAR,...,...,2,0,4,0,6,0,12,1,14,1,30,1,29,1,60,1,49,1,72,1,73,1
BRL,...,...,...,...,...,...,3,0,6,0,5,0,13,0,27,1,59,1,51,1,71,1,66,1
DKK,3,0,4,0,6,1,4,0,15,1,17,1,28,1,23,1,42,1,42,1,42,1,55,1
PLN,...,...,...,...,...,...,1,0,6,0,7,0,25,1,32,1,38,1,35,1,41,1,54,1
THB,...,...,...,...,...,...,2,0,2,0,4,0,6,0,8,0,17,0,18,0,32,0,31,0
ILS,...,...,...,...,...,...,...,...,1,0,2,0,5,0,6,0,10,0,14,0,20,0,31,0
